Name,X,Y,Orientation
D1,20.823840175367852,0.0,90
D10,2.117691453623979,10.8,10
D11,-4.117691453623979,14.4,345
D12,-4.117691453623979,7.2,335
D13,-4.117691453623979,0.0,270
D14,-4.117691453623979,-7.2,210
D15,-4.117691453623979,-14.4,200
D16,-10.353074360871938,-18.0,210
D17,-10.353074360871938,-10.8,225
D18,-10.353074360871938,-3.6,255
D19,-10.353074360871938,3.6,290
D2,14.588457268119894,-3.6,100
D20,-10.353074360871938,10.8,320
D21,-10.353074360871938,18.0,335
D3,14.588457268119894,3.6,75
D4,8.353074360871938,7.2,45
D5,8.353074360871938,0.0,90
D6,8.353074360871938,-7.2,130
D7,2.117691453623979,-10.8,165
D8,2.117691453623979,-3.6,145
D9,2.117691453623979,3.6,30
H1,4.253074360871938,7.2,30
H2,4.253074360871938,0.0,90
H3,4.253074360871938,-7.2,145
H4,-1.9823085463760206,-3.6,210
H5,-1.9823085463760206,3.6,335
H6,-8.217691453623978,0.0,270
H7,-8.217691453623978,-14.4,210
J1,16.723840175367854,0.0,90
J2,10.488457268119895,-3.6,105
J3,10.488457268119895,3.6,70
J4,-1.9823085463760206,-10.8,195
J5,-1.9823085463760206,10.8,350
J6,-8.217691453623978,-7.2,230
J7,-8.217691453623978,7.2,315
J8,-8.217691453623978,14.4,335
