Designator,Mid X,Mid Y,Rotation,Layer
D1,121.052885,-72.507418,90.0,top
D10,110.66058,-78.507418,15.0,top
D11,107.19648,-80.507418,350.0,top
D12,107.19648,-76.507418,340.0,top
D13,107.19648,-72.507418,270.0,top
D14,107.19648,-68.507418,295.0,top
D15,107.19648,-64.507418,15.0,top
D16,103.732378,-62.507418,30.0,top
D17,103.732378,-66.507418,225.0,top
D18,103.732378,-70.507418,70.0,top
D19,103.732378,-74.507418,115.0,top
D2,117.588784,-70.507418,100.0,top
D20,103.732378,-78.507418,140.0,top
D21,103.732378,-82.507418,155.0,top
D3,117.588784,-74.507418,75.0,top
D4,114.124682,-76.507418,320.0,top
D5,114.124682,-72.507418,270.0,top
D6,114.124682,-68.507418,305.0,top
D7,110.66058,-66.507418,340.0,top
D8,110.66058,-70.507418,135.0,top
D9,110.66058,-74.507418,40.0,top
